"Table S3. Molecular formulas, point group symmetry, and common organic functional groups for the molecules in the GDB9-W1-F12 database. ",,,,Carbonyls,Hydroxyl,Ester (cyclic or acyclic),Nitrogens w/o hydrogens,,,Carbons w/o hydrogens,,,,,
dsgdb9nsd_001328,C6H10O,7,C1,1,0,0,0,0,0,1,2,1,2,0,
dsgdb9nsd_001329,C5H9NO,7,C1,1,0,0,1,0,0,1,1,1,2,0,
dsgdb9nsd_001330,C5H9NO,7,C1,1,0,0,0,1,0,1,2,0,2,0,
dsgdb9nsd_001331,C5H8O2,7,C1,1,0,1,0,0,0,1,2,0,2,0,
dsgdb9nsd_001332,C5H8O2,7,C1,1,1,0,0,0,0,1,2,1,1,0,
dsgdb9nsd_001343,C7H12,7,CS,0,0,0,0,0,0,1,2,2,2,0,
dsgdb9nsd_001344,C5H9NO,7,C1,0,0,1,1,0,0,1,1,1,2,0,
dsgdb9nsd_001345,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001346,C7H12,7,C1,0,0,0,0,0,0,1,2,2,2,0,
dsgdb9nsd_001347,C5H9NO,7,C1,0,0,1,1,0,0,1,1,1,2,0,
dsgdb9nsd_001348,C6H10O,7,C1,0,0,1,0,0,0,1,2,1,2,0,
dsgdb9nsd_001349,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001364,C6H4O,7,C1,1,0,0,0,0,0,3,2,1,0,0,
dsgdb9nsd_001365,C5H3NO,7,C1,1,0,0,1,0,0,3,1,1,0,0,
dsgdb9nsd_001366,C5H3NO,7,C1,1,0,0,1,0,0,3,1,1,0,0,
dsgdb9nsd_001367,C4H2N2O,7,C1,1,0,0,2,0,0,3,0,1,0,0,
dsgdb9nsd_001368,C5H4O2,7,C1,2,0,0,0,0,0,2,2,1,0,0,
dsgdb9nsd_001369,C4H3NO2,7,C1,2,0,0,1,0,0,2,1,1,0,0,
dsgdb9nsd_001370,C4H4N2O,7,C1,1,0,0,0,2,0,2,2,0,0,0,
dsgdb9nsd_001371,C4H3NO2,7,C1,1,0,1,0,1,0,2,2,0,0,0,
dsgdb9nsd_001372,C3H2N2O2,7,C1,1,0,1,1,1,0,2,1,0,0,0,
dsgdb9nsd_001373,C3H4N4,7,C1,0,0,0,1,3,0,2,1,0,0,0,
dsgdb9nsd_001374,C4H4N2O,7,C1,1,0,0,0,2,0,2,2,0,0,0,
dsgdb9nsd_001375,C4H3NO2,7,C1,1,0,1,0,1,0,2,2,0,0,0,
dsgdb9nsd_001376,C3H2N2O2,7,C1,1,0,1,1,1,0,2,1,0,0,0,
dsgdb9nsd_001377,C4H3NO2,7,C1,2,0,0,0,1,0,2,2,0,0,0,
dsgdb9nsd_001378,C3H4N2O2,7,C1,2,0,0,0,2,0,1,2,0,0,0,
dsgdb9nsd_001379,C3H3NO3,7,C1,2,0,1,0,1,0,1,2,0,0,0,
dsgdb9nsd_001380,C3H5N3O,7,C1,1,0,0,0,3,0,1,2,0,0,0,
dsgdb9nsd_001381,C3H4N2O2,7,C1,2,0,0,0,2,0,1,2,0,0,0,
dsgdb9nsd_001382,C3H3NO3,7,C1,2,0,1,0,1,0,1,2,0,0,0,
dsgdb9nsd_001383,C3H3NO3,7,C1,3,0,0,0,1,0,1,2,0,0,0,
dsgdb9nsd_001385,C5H3NO,7,C1,1,0,0,1,0,0,4,0,0,1,0,
dsgdb9nsd_001386,C5H4O2,7,C1,2,0,0,0,0,0,3,1,0,1,0,
dsgdb9nsd_001387,C7H8,7,C1,0,0,0,0,0,0,3,2,0,2,0,
dsgdb9nsd_001388,C6H7N,7,C1,0,0,0,1,0,0,3,1,0,2,0,
dsgdb9nsd_001389,C5H6N2,7,C1,0,0,0,1,0,1,3,1,0,1,0,
dsgdb9nsd_001390,C6H6O,7,C1,0,1,0,0,0,0,3,2,0,1,0,
dsgdb9nsd_001391,C5H5NO,7,C1,0,1,0,1,0,0,3,1,0,1,0,
dsgdb9nsd_001392,C6H8O,7,C1,1,0,0,0,0,0,2,2,0,2,0,
dsgdb9nsd_001393,C5H6O2,7,C1,1,1,0,0,0,0,2,2,0,1,0,
dsgdb9nsd_001394,C7H8,7,C1,0,0,0,0,0,0,2,3,1,1,0,
dsgdb9nsd_001395,C6H7N,7,C1,0,0,0,1,0,0,2,2,1,1,0,
dsgdb9nsd_001396,C6H7N,7,C1,0,0,0,1,0,0,2,2,1,1,0,
dsgdb9nsd_001397,C5H6N2,7,C1,0,0,0,2,0,0,2,1,1,1,0,
dsgdb9nsd_001398,C5H6N2,7,C1,0,0,0,1,0,1,2,2,1,0,0,
dsgdb9nsd_001399,C5H6N2,7,C1,0,0,0,1,0,1,2,2,1,0,0,
dsgdb9nsd_001400,C4H5N3,7,C1,0,0,0,2,0,1,2,1,1,0,0,
dsgdb9nsd_001401,C6H6O,7,C1,0,1,0,0,0,0,2,3,1,0,0,
dsgdb9nsd_001402,C5H5NO,7,C1,0,1,0,1,0,0,2,2,1,0,0,
dsgdb9nsd_001403,C5H5NO,7,C1,0,1,0,1,0,0,2,2,1,0,0,
dsgdb9nsd_001404,C4H4N2O,7,C1,0,1,0,2,0,0,2,1,1,0,0,
dsgdb9nsd_001405,C6H8O,7,C1,1,0,0,0,0,0,1,3,1,1,0,
dsgdb9nsd_001406,C5H7NO,7,C1,1,0,0,1,0,0,1,2,1,1,0,
dsgdb9nsd_001407,C5H7NO,7,C1,1,0,0,1,0,0,1,2,1,1,0,
dsgdb9nsd_001408,C4H6N2O,7,C1,1,0,0,2,0,0,1,1,1,1,0,
dsgdb9nsd_001409,C5H6O2,7,C1,1,1,0,0,0,0,1,3,1,0,0,
dsgdb9nsd_001410,C4H5NO2,7,C1,1,1,0,1,0,0,1,2,1,0,0,
dsgdb9nsd_001411,C6H8O,7,C1,1,0,0,0,0,0,1,3,1,1,0,
dsgdb9nsd_001412,C5H7NO,7,C1,1,0,0,1,0,0,1,2,1,1,0,
dsgdb9nsd_001413,C5H7NO,7,C1,1,0,0,0,1,0,1,3,0,1,0,
dsgdb9nsd_001414,C4H6N2O,7,C1,1,0,0,1,1,0,1,2,0,1,0,
dsgdb9nsd_001415,C5H7NO,7,C1,0,0,1,0,1,0,1,3,0,1,0,
dsgdb9nsd_001416,C4H6N2O,7,C1,0,0,1,1,1,0,1,2,0,1,0,
dsgdb9nsd_001417,C5H6O2,7,C1,1,0,1,0,0,0,1,3,0,1,0,
dsgdb9nsd_001418,C4H5NO2,7,C1,1,0,1,1,0,0,1,2,0,1,0,
dsgdb9nsd_001419,C5H6O2,7,C1,1,1,0,0,0,0,1,3,1,0,0,
dsgdb9nsd_001420,C4H5NO2,7,C1,1,1,0,1,0,0,1,2,1,0,0,
dsgdb9nsd_001421,C5H8O2,7,C1,2,0,0,0,0,0,0,3,1,1,0,
dsgdb9nsd_001422,C4H7NO2,7,C1,2,0,0,0,1,0,0,3,0,1,0,
dsgdb9nsd_001423,C4H7NO2,7,C1,1,0,1,0,1,0,0,3,0,1,0,
dsgdb9nsd_001424,C4H6O3,7,C1,2,0,1,0,0,0,0,3,0,1,0,
dsgdb9nsd_001425,C4H7NO2,7,C1,2,0,0,1,0,0,0,2,1,1,0,
dsgdb9nsd_001426,C4H6O3,7,C1,2,1,0,0,0,0,0,3,1,0,0,
dsgdb9nsd_001427,C4H8N2O,7,C1,1,0,0,1,1,0,1,1,0,2,0,
dsgdb9nsd_001428,C4H7NO2,7,C1,1,0,1,1,0,0,1,1,0,2,0,
dsgdb9nsd_001429,C3H7N3O,7,C1,1,0,0,1,1,1,1,1,0,1,0,
dsgdb9nsd_001430,C4H8N2O,7,C1,1,0,0,2,0,0,0,2,0,2,0,
dsgdb9nsd_001434,C5H6O2,7,C1,1,0,1,0,0,0,3,0,0,2,0,
dsgdb9nsd_001435,C6H8O,7,C1,1,0,0,0,0,0,2,1,2,1,0,
dsgdb9nsd_001436,C5H7NO,7,C1,1,0,0,1,0,0,2,0,2,1,0,
dsgdb9nsd_001437,C5H7NO,7,C1,1,0,0,0,1,0,2,1,1,1,0,
dsgdb9nsd_001438,C4H6N2O,7,C1,1,0,0,1,1,0,2,0,1,1,0,
dsgdb9nsd_001439,C5H6O2,7,C1,1,0,1,0,0,0,2,1,1,1,0,
dsgdb9nsd_001440,C4H5NO2,7,C1,1,0,1,1,0,0,2,0,1,1,0,
dsgdb9nsd_001441,C5H6O2,7,C1,1,1,0,0,0,0,2,1,2,0,0,
dsgdb9nsd_001442,C4H5NO2,7,C1,1,1,0,1,0,0,2,0,2,0,0,
dsgdb9nsd_001443,C4H8N2O,7,C1,1,0,0,0,2,0,1,1,1,1,0,
dsgdb9nsd_001444,C5H8O2,7,C1,2,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_001445,C4H8N2O,7,C1,1,0,0,0,2,0,1,1,1,1,0,
dsgdb9nsd_001446,C4H7NO2,7,C1,2,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_001448,C4H7NO2,7,C1,2,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_001449,C3H7N3O,7,C1,1,0,0,0,3,0,1,1,0,1,0,
dsgdb9nsd_001450,C3H6N2O2,7,C1,2,0,0,0,2,0,1,1,0,1,0,
dsgdb9nsd_001451,C3H6N2O2,7,C1,1,0,1,0,2,0,1,1,0,1,0,
dsgdb9nsd_001452,C3H6N2O2,7,C1,1,0,1,0,2,0,1,1,0,1,0,
dsgdb9nsd_001453,C4H6O3,7,C1,2,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_001454,C3H6N2O2,7,C1,1,0,1,0,2,0,1,1,0,1,0,
dsgdb9nsd_001455,C3H5NO3,7,C1,2,0,1,0,1,0,1,1,0,1,0,
dsgdb9nsd_001456,C3H6N2O2,7,CS,2,0,0,0,1,1,1,1,1,0,0,
dsgdb9nsd_001457,C3H6N2O2,7,C1,1,0,1,0,1,1,1,1,1,0,0,
dsgdb9nsd_001458,C3H6N2O2,7,C1,1,1,0,0,2,0,1,1,1,0,0,
dsgdb9nsd_001459,C4H6O3,7,C1,2,1,0,0,0,0,1,1,2,0,0,
dsgdb9nsd_001461,C3H5NO3,7,C1,2,1,0,0,1,0,1,1,1,0,0,
dsgdb9nsd_001462,C3H5NO3,7,C1,1,1,1,0,1,0,1,1,1,0,0,
dsgdb9nsd_001463,C6H10O,7,C1,0,1,0,0,0,0,2,1,1,2,0,
dsgdb9nsd_001464,C5H8O2,7,C1,0,2,0,0,0,0,2,1,1,1,0,
dsgdb9nsd_001465,C7H12,7,C1,0,0,0,0,0,0,2,1,1,3,0,
dsgdb9nsd_001467,C6H10O,7,C1,0,0,1,0,0,0,2,1,0,3,0,
dsgdb9nsd_001468,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001469,C5H9NO,7,C1,0,1,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_001470,C7H12,7,C1,0,0,0,0,0,0,1,2,2,2,0,
dsgdb9nsd_001471,C6H11N,7,C1,0,0,0,1,0,0,1,1,2,2,0,
dsgdb9nsd_001472,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001473,C5H9NO,7,C1,0,1,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_001474,C5H10N2,7,C1,0,0,0,2,0,0,1,0,2,2,0,
dsgdb9nsd_001475,C6H10O,7,C1,0,0,1,0,0,0,1,2,1,2,0,
dsgdb9nsd_001476,C5H9NO,7,C1,0,0,1,1,0,0,1,1,1,2,0,
dsgdb9nsd_001477,C5H8O2,7,C1,0,2,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_001478,C4H7NO2,7,C1,0,2,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_001489,C4H7N3,7,C1,0,0,0,2,0,1,2,0,1,1,0,
dsgdb9nsd_001490,C4H8N2O,7,C1,1,0,0,1,0,1,1,1,1,1,0,
dsgdb9nsd_001491,C6H8O,7,C1,1,0,0,0,0,0,2,1,2,1,0,
dsgdb9nsd_001492,C5H7NO,7,C1,1,0,0,1,0,0,2,0,2,1,0,
dsgdb9nsd_001493,C4H7N3,7,C1,0,0,0,1,2,0,2,0,1,1,0,
dsgdb9nsd_001494,C5H7NO,7,C1,1,0,0,0,1,0,2,1,1,1,0,
dsgdb9nsd_001495,C5H7NO,7,C1,0,0,1,0,1,0,2,1,1,1,0,
dsgdb9nsd_001496,C4H6N2O,7,C1,0,0,1,1,1,0,2,0,1,1,0,
dsgdb9nsd_001497,C5H6O2,7,C1,1,0,1,0,0,0,2,1,1,1,0,
dsgdb9nsd_001498,C4H5NO2,7,C1,1,0,1,1,0,0,2,0,1,1,0,
dsgdb9nsd_001499,C4H6N2O,7,C1,1,0,0,1,1,0,2,0,1,1,0,
dsgdb9nsd_001500,C5H6O2,7,C1,1,0,1,0,0,0,2,1,1,1,0,
dsgdb9nsd_001501,C4H5NO2,7,C1,1,0,1,1,0,0,2,0,1,1,0,
dsgdb9nsd_001502,C5H6O2,7,C1,1,1,0,0,0,0,2,1,2,0,0,
dsgdb9nsd_001504,C5H8O2,7,C1,2,0,0,0,0,0,1,1,2,1,0,
dsgdb9nsd_001505,C4H8N2O,7,C1,1,0,0,0,2,0,1,1,1,1,0,
dsgdb9nsd_001506,C4H7NO2,7,C1,2,0,0,0,1,0,1,1,1,1,0,
dsgdb9nsd_001507,C4H7NO2,7,C1,1,0,1,0,1,0,1,1,1,1,0,
dsgdb9nsd_001508,C4H6O3,7,C1,2,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_001509,C4H6O3,7,C1,2,0,1,0,0,0,1,1,1,1,0,
dsgdb9nsd_001510,C4H6O3,7,C1,2,1,0,0,0,0,1,1,2,0,0,
dsgdb9nsd_001537,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001538,C5H9NO,7,C1,0,1,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_001539,C7H12,7,C1,0,0,0,0,0,0,1,2,2,2,0,
dsgdb9nsd_001540,C6H11N,7,C1,0,0,0,1,0,0,1,1,2,2,0,
dsgdb9nsd_001541,C5H10N2,7,C1,0,0,0,1,0,1,1,1,2,1,0,
dsgdb9nsd_001542,C6H10O,7,C1,0,1,0,0,0,0,1,2,2,1,0,
dsgdb9nsd_001543,C5H9NO,7,C1,0,1,0,1,0,0,1,1,2,1,0,
dsgdb9nsd_001544,C5H10N2,7,C1,0,0,0,1,1,0,1,1,1,2,0,
dsgdb9nsd_001545,C6H10O,7,C1,0,0,1,0,0,0,1,2,1,2,0,
dsgdb9nsd_001546,C5H9NO,7,C1,0,0,1,1,0,0,1,1,1,2,0,
dsgdb9nsd_001547,C4H8N2O,7,C1,0,1,0,1,1,0,1,1,1,1,0,
dsgdb9nsd_001548,C6H10O,7,C1,0,0,1,0,0,0,1,2,1,2,0,
dsgdb9nsd_001549,C5H9NO,7,C1,0,0,1,1,0,0,1,1,1,2,0,
dsgdb9nsd_001550,C4H8N2O,7,C1,0,0,1,1,0,1,1,1,1,1,0,
dsgdb9nsd_001551,C5H8O2,7,C1,0,1,1,0,0,0,1,2,1,1,0,
dsgdb9nsd_001552,C4H7NO2,7,C1,0,1,1,1,0,0,1,1,1,1,0,
dsgdb9nsd_001553,C4H8N2O,7,C1,0,1,0,1,0,1,1,1,2,0,0,
dsgdb9nsd_001554,C5H8O2,7,C1,0,2,0,0,0,0,1,2,2,0,0,
dsgdb9nsd_001555,C4H7NO2,7,C1,0,2,0,1,0,0,1,1,2,0,0,
dsgdb9nsd_001582,C5H4O2,7,C1,2,0,0,0,0,0,3,1,0,1,0,
dsgdb9nsd_001583,C4H3NO2,7,C1,2,0,0,1,0,0,3,0,0,1,0,
dsgdb9nsd_001584,C4H4N2O,7,C1,1,0,0,0,1,1,3,1,0,0,0,
dsgdb9nsd_001585,C3H3N3O,7,C1,1,0,0,1,1,1,3,0,0,0,0,
dsgdb9nsd_001586,C4H3NO2,7,C1,2,0,0,0,0,1,3,1,0,0,0,
dsgdb9nsd_001587,C4H4O3,7,C1,3,0,0,0,0,0,2,1,0,1,0,
dsgdb9nsd_001588,C3H4N2O2,7,C1,2,0,0,0,1,1,2,1,0,0,0,
dsgdb9nsd_001589,C3H3NO3,7,C1,3,0,0,0,0,1,2,1,0,0,0,
dsgdb9nsd_001590,C5H6O2,7,C1,1,1,0,0,0,0,2,2,0,1,0,
dsgdb9nsd_001591,C4H5NO2,7,C1,1,1,0,1,0,0,2,1,0,1,0,
dsgdb9nsd_001592,C6H8O,7,C1,1,0,0,0,0,0,2,2,0,2,0,
dsgdb9nsd_001593,C5H7NO,7,C1,1,0,0,0,0,1,2,2,0,1,0,
dsgdb9nsd_001594,C5H7NO,7,C1,1,0,0,1,0,0,2,1,0,2,0,
dsgdb9nsd_001595,C4H6N2O,7,C1,1,0,0,1,0,1,2,1,0,1,0,
dsgdb9nsd_001596,C3H5N3O,7,C1,0,1,0,1,1,1,2,1,0,0,0,
dsgdb9nsd_001597,C4H5NO2,7,C1,1,1,0,0,0,1,2,2,0,0,0,
dsgdb9nsd_001598,C3H4N2O2,7,C1,1,1,0,1,0,1,2,1,0,0,0,
dsgdb9nsd_001599,C4H6N2O,7,C1,1,0,0,0,0,2,2,2,0,0,0,
dsgdb9nsd_001600,C4H5NO2,7,C1,1,1,0,0,0,1,2,2,0,0,0,
dsgdb9nsd_001602,C6H8O,7,C1,1,0,0,0,0,0,2,2,0,2,0,
dsgdb9nsd_001603,C5H7NO,7,C1,1,0,0,1,0,0,2,1,0,2,0,
dsgdb9nsd_001604,C5H6O2,7,C1,1,1,0,0,0,0,2,2,0,1,0,
dsgdb9nsd_001605,C4H5NO2,7,C1,1,1,0,1,0,0,2,1,0,1,0,
dsgdb9nsd_001606,C4H7N3,7,C1,0,0,0,2,1,0,2,0,0,2,0,
dsgdb9nsd_001607,C5H7NO,7,C1,1,0,0,1,0,0,2,1,0,2,0,
dsgdb9nsd_001608,C4H6N2O,7,C1,1,0,0,2,0,0,2,0,0,2,0,
dsgdb9nsd_001609,C5H8O2,7,C1,2,0,0,0,0,0,1,2,0,2,0,
dsgdb9nsd_001610,C4H6O3,7,C1,2,1,0,0,0,0,1,2,0,1,0,
dsgdb9nsd_001611,C4H8N2O,7,C1,1,0,0,1,1,0,1,1,0,2,0,
dsgdb9nsd_001612,C4H7NO2,7,C1,2,0,0,1,0,0,1,1,0,2,0,
dsgdb9nsd_001613,C5H10N2,7,C1,0,0,0,2,0,0,1,1,0,3,0,
dsgdb9nsd_001614,C7H12,7,C1,0,0,0,0,0,0,1,3,0,3,0,
dsgdb9nsd_001615,C6H11N,7,C1,0,0,0,1,0,0,1,2,0,3,0,
dsgdb9nsd_001617,C6H10O,7,C1,0,1,0,0,0,0,1,3,0,2,0,
dsgdb9nsd_001618,C5H9NO,7,C1,0,1,0,1,0,0,1,2,0,2,0,
dsgdb9nsd_001619,C4H9N3,7,C1,0,0,0,1,0,2,1,2,0,1,0,
dsgdb9nsd_001620,C6H10O,7,C1,0,1,0,0,0,0,1,3,0,2,0,
dsgdb9nsd_001621,C5H9NO,7,C1,0,1,0,1,0,0,1,2,0,2,0,
dsgdb9nsd_001622,C4H8N2O,7,C1,0,1,0,1,0,1,1,2,0,1,0,
dsgdb9nsd_001623,C5H8O2,7,C1,0,2,0,0,0,0,1,3,0,1,0,
dsgdb9nsd_001624,C4H7NO2,7,C1,0,2,0,1,0,0,1,2,0,1,0,
dsgdb9nsd_001630,C4H6O3,7,C1,2,1,0,0,0,0,1,2,0,1,0,
dsgdb9nsd_001631,C5H8O2,7,C1,2,0,0,0,0,0,1,2,0,2,0,
dsgdb9nsd_001632,C4H7NO2,7,C1,2,0,0,0,0,1,1,2,0,1,0,
dsgdb9nsd_001634,C3H7N3O,7,C1,1,0,0,1,1,1,1,1,0,1,0,
dsgdb9nsd_001635,C4H8N2O,7,C1,1,0,0,1,1,0,1,1,0,2,0,
dsgdb9nsd_001636,C4H7NO2,7,C1,2,0,0,1,0,0,1,1,0,2,0,
dsgdb9nsd_001637,C3H7N3O,7,C1,1,0,0,1,1,1,1,1,0,1,0,
dsgdb9nsd_001638,C3H6N2O2,7,C1,2,0,0,1,0,1,1,1,0,1,0,
dsgdb9nsd_001639,C3H5NO3,7,C1,2,1,0,0,0,1,1,2,0,0,0,
dsgdb9nsd_001640,C4H8N2O,7,C1,1,0,0,1,0,1,2,0,0,2,0,
dsgdb9nsd_001641,C3H7N3O,7,C1,1,0,0,1,0,2,2,0,0,1,0,
dsgdb9nsd_001642,C3H6N2O2,7,C1,2,0,0,0,1,1,2,0,0,1,0,
dsgdb9nsd_001644,C5H8O2,7,C1,2,0,0,0,0,0,2,0,1,2,0,
dsgdb9nsd_001645,C4H8N2O,7,C1,1,0,0,0,1,1,2,0,1,1,0,
dsgdb9nsd_001646,C4H7NO2,7,C1,2,0,0,0,0,1,2,0,1,1,0,
dsgdb9nsd_001647,C4H8N2O,7,C1,1,0,0,0,2,0,2,0,0,2,0,
dsgdb9nsd_001648,C3H6N2O2,7,C1,2,0,0,0,1,1,2,0,0,1,0,
dsgdb9nsd_001649,C4H7NO2,7,C1,2,0,0,0,1,0,2,0,0,2,0,
dsgdb9nsd_001650,C3H6N2O2,7,C1,2,0,0,0,1,1,2,0,0,1,0,
dsgdb9nsd_001651,C4H6O3,7,C1,2,0,1,0,0,0,2,0,0,2,0,
dsgdb9nsd_001652,C3H6N2O2,7,C1,1,0,1,0,1,1,2,0,0,1,0,
dsgdb9nsd_001653,C3H5NO3,7,C1,2,0,1,0,0,1,2,0,0,1,0,
dsgdb9nsd_001654,C3H6N2O2,7,C1,1,1,0,0,1,1,2,0,1,0,0,
dsgdb9nsd_001655,C3H5NO3,7,C1,2,1,0,0,0,1,2,0,1,0,0,
dsgdb9nsd_001697,C7H10,7,C1,0,0,0,0,0,0,2,1,3,1,0,
dsgdb9nsd_001698,C6H9N,7,CS,0,0,0,1,0,0,2,0,3,1,0,
dsgdb9nsd_001699,C5H8N2,7,C1,0,0,0,1,1,0,2,0,2,1,0,
dsgdb9nsd_001700,C6H8O,7,C1,0,0,1,0,0,0,2,1,2,1,0,
dsgdb9nsd_001701,C5H7NO,7,C1,0,0,1,1,0,0,2,0,2,1,0,
dsgdb9nsd_001702,C6H8O,7,C1,0,0,1,0,0,0,2,1,2,1,0,
dsgdb9nsd_001703,C5H7NO,7,CS,0,0,1,1,0,0,2,0,2,1,0,
dsgdb9nsd_001704,C5H8N2,7,CS,0,0,0,1,0,1,2,0,3,0,0,
dsgdb9nsd_001705,C4H7N3,7,CS,0,0,0,1,1,1,2,0,2,0,0,
dsgdb9nsd_001706,C4H6N2O,7,CS,0,0,1,1,0,1,2,0,2,0,0,
dsgdb9nsd_001707,C6H8O,7,C1,0,1,0,0,0,0,2,1,3,0,0,
dsgdb9nsd_001708,C5H7NO,7,C1,0,1,0,1,0,0,2,0,3,0,0,
dsgdb9nsd_001709,C4H6N2O,7,C1,0,1,0,1,1,0,2,0,2,0,0,
dsgdb9nsd_001710,C5H6O2,7,C1,0,1,1,0,0,0,2,1,2,0,0,
dsgdb9nsd_001711,C4H5NO2,7,C1,0,1,1,1,0,0,2,0,2,0,0,
dsgdb9nsd_001712,C6H10O,7,C1,1,0,0,0,0,0,1,1,3,1,0,
dsgdb9nsd_001713,C5H8O2,7,C1,1,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_001714,C5H8O2,7,C1,1,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_001715,C5H8O2,7,C1,1,1,0,0,0,0,1,1,3,0,0,
dsgdb9nsd_001716,C4H6O3,7,C1,1,1,1,0,0,0,1,1,2,0,0,
dsgdb9nsd_001730,C6H9N,7,C1,0,0,0,0,1,0,3,0,1,2,0,
dsgdb9nsd_001731,C6H8O,7,C1,0,0,1,0,0,0,3,0,1,2,0,
dsgdb9nsd_001732,C6H8O,7,C1,0,1,0,0,0,0,3,0,2,1,0,
dsgdb9nsd_001733,C7H10,7,C1,0,0,0,0,0,0,2,1,3,1,0,
dsgdb9nsd_001734,C6H9N,7,C1,0,0,0,0,1,0,2,1,2,1,0,
dsgdb9nsd_001735,C6H8O,7,C1,0,0,1,0,0,0,2,1,2,1,0,
dsgdb9nsd_001736,C6H9N,7,C1,0,0,0,1,0,0,2,0,3,1,0,
dsgdb9nsd_001737,C5H8N2,7,C1,0,0,0,1,1,0,2,0,2,1,0,
dsgdb9nsd_001738,C5H7NO,7,C1,0,0,1,1,0,0,2,0,2,1,0,
dsgdb9nsd_001739,C6H8O,7,C1,0,1,0,0,0,0,2,1,3,0,0,
dsgdb9nsd_001740,C5H7NO,7,C1,0,1,0,1,0,0,2,0,3,0,0,
dsgdb9nsd_001741,C5H9NO,7,C1,1,0,0,0,1,0,1,1,2,1,0,
dsgdb9nsd_001742,C5H8O2,7,C1,1,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_001743,C6H10O,7,C1,1,0,0,0,0,0,1,1,3,1,0,
dsgdb9nsd_001744,C5H9NO,7,C1,1,0,0,0,1,0,1,1,2,1,0,
dsgdb9nsd_001745,C5H8O2,7,C1,1,0,1,0,0,0,1,1,2,1,0,
dsgdb9nsd_001746,C5H8O2,7,C1,1,1,0,0,0,0,1,1,3,0,0,
dsgdb9nsd_001758,C6H8O,7,C1,0,1,0,0,0,0,2,2,1,1,0,
dsgdb9nsd_001759,C5H7NO,7,C1,0,1,0,1,0,0,2,1,1,1,0,
dsgdb9nsd_001760,C7H10,7,C1,0,0,0,0,0,0,2,2,1,2,0,
dsgdb9nsd_001761,C6H9N,7,C1,0,0,0,1,0,0,2,1,1,2,0,
dsgdb9nsd_001762,C5H8N2,7,C1,0,0,0,1,0,1,2,1,1,1,0,
dsgdb9nsd_001763,C6H8O,7,C1,0,1,0,0,0,0,2,2,1,1,0,
dsgdb9nsd_001764,C5H7NO,7,C1,0,1,0,1,0,0,2,1,1,1,0,
dsgdb9nsd_001765,C6H9N,7,C1,0,0,0,0,1,0,2,2,0,2,0,
dsgdb9nsd_001766,C5H8N2,7,C1,0,0,0,1,1,0,2,1,0,2,0,
dsgdb9nsd_001767,C6H8O,7,C1,0,0,1,0,0,0,2,2,0,2,0,
dsgdb9nsd_001769,C6H9N,7,C1,0,0,0,1,0,0,2,1,1,2,0,
dsgdb9nsd_001770,C5H8N2,7,C1,0,0,0,2,0,0,2,0,1,2,0,
dsgdb9nsd_001771,C4H6N2O,7,C1,0,1,0,1,0,1,2,1,1,0,0,
dsgdb9nsd_001772,C4H7N3,7,C1,0,0,0,1,0,2,2,1,1,0,0,
dsgdb9nsd_001773,C4H6N2O,7,C1,0,1,0,1,0,1,2,1,1,0,0,
dsgdb9nsd_001774,C5H6O2,7,C1,0,2,0,0,0,0,2,2,1,0,0,
dsgdb9nsd_001775,C4H5NO2,7,C1,0,2,0,1,0,0,2,1,1,0,0,
dsgdb9nsd_001776,C5H8O2,7,C1,1,1,0,0,0,0,1,2,1,1,0,
dsgdb9nsd_001777,C6H10O,7,C1,1,0,0,0,0,0,1,2,1,2,0,
dsgdb9nsd_001778,C5H8O2,7,C1,1,1,0,0,0,0,1,2,1,1,0,
dsgdb9nsd_001779,C5H9NO,7,C1,1,0,0,0,1,0,1,2,0,2,0,
dsgdb9nsd_001780,C5H8O2,7,C1,1,0,1,0,0,0,1,2,0,2,0,
dsgdb9nsd_001781,C5H9NO,7,C1,1,0,0,1,0,0,1,1,1,2,0,
dsgdb9nsd_001782,C4H6O3,7,C1,1,2,0,0,0,0,1,2,1,0,0,
dsgdb9nsd_001798,C6H10O,7,C1,1,0,0,0,0,0,2,0,2,2,0,
dsgdb9nsd_001799,C5H9NO,7,C1,1,0,0,0,1,0,2,0,1,2,0,
